Technique,Width,Amplitude,Time,Correct
Mouse, 0.2, 1, 1729, True
Mouse, 0.2, 1, 529, True
Mouse, 0.2, 1, 412, True
Mouse, 0.2, 1, 431, True
Mouse, 0.2, 1, 546, True
Mouse, 0.2, 1, 568, True
Mouse, 0.2, 1, 523, True
Mouse, 0.2, 1, 557, True
Mouse, 0.2, 1, 558, True
Mouse, 0.4, 2, 773, True
Mouse, 0.4, 2, 453, True
Mouse, 0.4, 2, 567, True
Mouse, 0.4, 2, 507, True
Mouse, 0.4, 2, 381, True
Mouse, 0.4, 2, 439, True
Mouse, 0.4, 2, 340, True
Mouse, 0.4, 2, 382, True
Mouse, 0.4, 2, 365, True
Mouse, 0.6, 1, 783, True
Mouse, 0.6, 1, 348, True
Mouse, 0.6, 1, 423, True
Mouse, 0.6, 1, 340, True
Mouse, 0.6, 1, 285, True
Mouse, 0.6, 1, 446, True
Mouse, 0.6, 1, 317, True
Mouse, 0.6, 1, 358, True
Mouse, 0.6, 1, 388, True
Mouse, 0.6, 3, 807, True
Mouse, 0.6, 3, 507, True
Mouse, 0.6, 3, 526, True
Mouse, 0.6, 3, 519, True
Mouse, 0.6, 3, 437, True
Mouse, 0.6, 3, 501, True
Mouse, 0.6, 3, 493, True
Mouse, 0.6, 3, 420, True
Mouse, 0.6, 3, 398, True
Mouse, 0.2, 2, 798, True
Mouse, 0.2, 2, 685, True
Mouse, 0.2, 2, 523, True
Mouse, 0.2, 2, 725, True
Mouse, 0.2, 2, 773, True
Mouse, 0.2, 2, 502, True
Mouse, 0.2, 2, 580, True
Mouse, 0.2, 2, 679, True
Mouse, 0.2, 2, 955, True
Mouse, 0.4, 3, 711, True
Mouse, 0.4, 3, 644, True
Mouse, 0.4, 3, 484, True
Mouse, 0.4, 3, 566, True
Mouse, 0.4, 3, 476, True
Mouse, 0.4, 3, 511, True
Mouse, 0.4, 3, 572, True
Mouse, 0.4, 3, 566, True
Mouse, 0.4, 3, 486, True
Mouse, 0.2, 3, 980, True
Mouse, 0.2, 3, 742, True
Mouse, 0.2, 3, 547, True
Mouse, 0.2, 3, 663, True
Mouse, 0.2, 3, 997, True
Mouse, 0.2, 3, 678, True
Mouse, 0.2, 3, 973, True
Mouse, 0.2, 3, 635, True
Mouse, 0.2, 3, 660, True
Mouse, 0.6, 2, 606, True
Mouse, 0.6, 2, 478, True
Mouse, 0.6, 2, 477, True
Mouse, 0.6, 2, 406, True
Mouse, 0.6, 2, 410, True
Mouse, 0.6, 2, 527, True
Mouse, 0.6, 2, 485, True
Mouse, 0.6, 2, 468, True
Mouse, 0.6, 2, 374, True
Mouse, 0.4, 1, 925, True
Mouse, 0.4, 1, 371, True
Mouse, 0.4, 1, 461, True
Mouse, 0.4, 1, 429, True
Mouse, 0.4, 1, 438, True
Mouse, 0.4, 1, 493, True
Mouse, 0.4, 1, 342, True
Mouse, 0.4, 1, 417, True
Mouse, 0.4, 1, 373, True
TouchPad, 0.2, 1, 1907, True
TouchPad, 0.2, 1, 924, True
TouchPad, 0.2, 1, 751, True
TouchPad, 0.2, 1, 772, True
TouchPad, 0.2, 1, 861, True
TouchPad, 0.2, 1, 955, True
TouchPad, 0.2, 1, 1000, True
TouchPad, 0.2, 1, 674, True
TouchPad, 0.2, 1, 942, True
TouchPad, 0.4, 1, 885, True
TouchPad, 0.4, 1, 675, True
TouchPad, 0.4, 1, 642, True
