Technique,Width,Amplitude,Time,Correct
Mouse, 0.2, 1, 1776, True
Mouse, 0.2, 1, 825, True
Mouse, 0.2, 1, 623, True
Mouse, 0.2, 1, 644, True
Mouse, 0.2, 1, 630, True
Mouse, 0.2, 1, 499, True
Mouse, 0.2, 1, 630, True
Mouse, 0.2, 1, 509, True
Mouse, 0.2, 1, 525, True
Mouse, 0.4, 2, 1047, True
Mouse, 0.4, 2, 511, True
Mouse, 0.4, 2, 531, True
Mouse, 0.4, 2, 565, True
Mouse, 0.4, 2, 519, True
Mouse, 0.4, 2, 493, True
Mouse, 0.4, 2, 518, True
Mouse, 0.4, 2, 507, True
Mouse, 0.4, 2, 549, True
Mouse, 0.6, 1, 879, True
Mouse, 0.6, 1, 493, True
Mouse, 0.6, 1, 428, True
Mouse, 0.6, 1, 456, True
Mouse, 0.6, 1, 459, True
Mouse, 0.6, 1, 544, True
Mouse, 0.6, 1, 596, True
Mouse, 0.6, 1, 508, True
Mouse, 0.6, 1, 484, True
Mouse, 0.6, 3, 957, True
Mouse, 0.6, 3, 606, False
Mouse, 0.6, 3, 416, True
Mouse, 0.6, 3, 666, True
Mouse, 0.6, 3, 455, True
Mouse, 0.6, 3, 483, True
Mouse, 0.6, 3, 519, True
Mouse, 0.6, 3, 475, True
Mouse, 0.6, 3, 527, True
Mouse, 0.6, 3, 421, True
Mouse, 0.2, 2, 947, True
Mouse, 0.2, 2, 751, True
Mouse, 0.2, 2, 675, True
Mouse, 0.2, 2, 878, True
Mouse, 0.2, 2, 710, True
Mouse, 0.2, 2, 716, True
Mouse, 0.2, 2, 677, True
Mouse, 0.2, 2, 725, True
Mouse, 0.2, 2, 669, True
Mouse, 0.4, 3, 846, True
Mouse, 0.4, 3, 439, True
Mouse, 0.4, 3, 523, True
Mouse, 0.4, 3, 559, True
Mouse, 0.4, 3, 452, True
Mouse, 0.4, 3, 532, True
Mouse, 0.4, 3, 478, True
Mouse, 0.4, 3, 551, True
Mouse, 0.4, 3, 525, True
Mouse, 0.2, 3, 731, True
Mouse, 0.2, 3, 661, True
Mouse, 0.2, 3, 735, True
Mouse, 0.2, 3, 693, True
Mouse, 0.2, 3, 773, True
Mouse, 0.2, 3, 709, True
Mouse, 0.2, 3, 725, True
Mouse, 0.2, 3, 635, True
Mouse, 0.2, 3, 680, True
Mouse, 0.6, 2, 659, True
Mouse, 0.6, 2, 460, True
Mouse, 0.6, 2, 442, True
Mouse, 0.6, 2, 424, True
Mouse, 0.6, 2, 449, True
Mouse, 0.6, 2, 379, True
Mouse, 0.6, 2, 508, True
Mouse, 0.6, 2, 509, True
Mouse, 0.6, 2, 478, True
Mouse, 0.4, 1, 787, True
Mouse, 0.4, 1, 519, True
Mouse, 0.4, 1, 396, True
Mouse, 0.4, 1, 428, True
Mouse, 0.4, 1, 374, True
